,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,AV Latitude
336,Carauari,68,BR,1543247093,79,-4.88,-66.9,84.04,3.71,4.88
337,Nkhotakota,0,MW,1543247095,61,-12.93,34.3,82.87,5.28,12.93
338,Tokur,88,RU,1543247096,73,53.13,132.9,-1.51,2.37,53.13
339,Timiryazevskiy,80,RU,1543247097,93,47.05,39.61,31.3,5.84,47.05
340,Acheng,92,CN,1543247099,42,45.55,126.95,33.23,12.1,45.55
341,Mahajanga,0,MG,1543247100,88,-15.72,46.32,84.49,11.43,15.72
342,Saint-Georges,36,CA,1543246900,92,46.12,-70.67,31.39,4.5,46.12
343,Panaba,12,MX,1543247102,64,21.28,-88.27,84.26,4.05,21.28
344,Wright,0,US,1543247104,45,43.75,-105.48,0.11,3.38,43.75
345,Oranjestad,0,AW,1543246870,97,12.52,-70.03,81.2,21.61,12.52
346,Cassilandia,44,BR,1543247106,93,-19.11,-51.73,81.74,6.96,19.11
347,Itacoatiara,48,BR,1543246877,92,-3.14,-58.44,80.3,2.71,3.14
348,Aykhal,44,RU,1543247109,39,65.95,111.51,-26.49,2.71,65.95
349,Chumikan,76,RU,1543247110,100,54.72,135.31,-0.88,2.37,54.72
350,Hambantota,32,LK,1543246987,100,6.12,81.12,77.74,7.18,6.12
351,Tabas,0,IR,1543247112,89,33.6,56.92,43.4,1.81,33.6
352,Bambous Virieux,92,MU,1543247113,97,-20.34,57.76,73.55,9.31,20.34
353,Sorada,0,IN,1543247114,78,19.76,84.43,61.58,2.26,19.76
354,Lasa,64,CY,1543247116,100,34.92,32.53,64.46,4.94,34.92
355,Paamiut,0,GL,1543247117,91,61.99,-49.67,35.39,6.17,61.99
356,Kavaratti,8,IN,1543247118,100,10.57,72.64,84.35,6.85,10.57
357,Robertsport,0,LR,1543247119,94,6.75,-11.37,85.52,9.75,6.75
358,Puerto Colombia,0,CO,1543247120,71,10.99,-74.96,89.44,9.98,10.99
359,Lawrenceburg,56,US,1543247122,63,35.24,-87.33,37.42,9.31,35.24
360,Lindsay,92,CA,1543247123,100,44.36,-78.74,36.07,13.78,44.36
361,Gumdag,100,TM,1543247124,87,39.2,54.59,46.91,6.62,39.2
362,Ekhabi,68,RU,1543247125,100,53.51,142.97,-3.76,2.59,53.51
363,Berlevag,88,NO,1543247126,100,70.86,29.09,33.86,13.33,70.86
364,Avera,68,US,1543247128,83,33.19,-82.53,56.0,13.22,33.19
365,Port Elizabeth,68,US,1543247129,88,39.31,-74.98,53.89,15.01,39.31
366,Khipro,68,PK,1543247130,73,25.83,69.38,70.04,2.82,25.83
367,Ciudad Real,8,ES,1543247132,79,38.99,-3.93,51.14,11.43,38.99
368,Norman Wells,36,CA,1543247070,79,65.28,-126.83,-8.8,3.71,65.28
369,Novoagansk,32,RU,1543247134,77,61.94,76.66,-11.95,3.38,61.94
370,Punta Alta,48,AR,1543247135,64,-27.46,-55.82,82.01,2.71,27.46
371,Ballina,0,IE,1543247136,100,54.11,-9.15,42.37,11.65,54.11
372,Sao Jose da Coroa Grande,92,BR,1543247138,79,-8.9,-35.15,82.69,12.66,8.9
373,Vila Velha,8,BR,1543247139,97,-3.71,-38.6,81.97,18.03,3.71
374,Huarmey,32,PE,1543247140,57,-10.07,-78.15,72.92,4.5,10.07
375,Manaure,56,CO,1543247141,95,11.78,-72.45,81.34,22.28,11.78
376,Puerto Penasco,64,MX,1543247144,100,31.32,-113.53,62.44,11.65,31.32
377,Havoysund,88,NO,1543247145,100,71.0,24.66,32.29,22.5,71.0
378,Mackay,64,CA,1543247147,76,53.65,-115.58,16.9,2.15,53.65
379,Jablah,100,SY,1543247149,100,35.36,35.93,60.41,4.83,35.36
380,Vanavara,56,RU,1543247151,74,60.35,102.28,-0.16,0.92,60.35
381,Opole Lubelskie,80,PL,1543247153,92,51.15,21.97,30.98,12.21,51.15
382,Vila Franca do Campo,56,PT,1543247155,98,37.72,-25.43,64.37,22.73,37.72
383,Qeshm,80,IR,1543247156,100,26.96,56.27,72.02,5.95,26.96
384,Deputatskiy,32,RU,1543247158,38,69.3,139.9,-26.08,2.71,69.3
385,Amberley,92,NZ,1543247159,100,-43.15,172.73,52.58,9.42,43.15
386,Barra do Garcas,80,BR,1543247161,92,-15.89,-52.26,77.96,5.28,15.89
387,Shingu,92,JP,1543247162,100,33.72,135.99,61.49,1.7,33.72
388,Cacu,8,BR,1543247163,93,-18.56,-51.13,81.56,5.39,18.56
389,Severo-Kurilsk,56,RU,1543247090,100,50.68,156.12,29.59,23.29,50.68
390,Nizhnyaya Poyma,68,RU,1543247166,63,56.16,97.2,13.52,8.63,56.16
391,Tomatlan,0,MX,1543247167,79,19.93,-105.25,69.59,2.37,19.93
392,Grootfontein,24,NA,1543247168,45,-19.56,18.1,84.89,4.38,19.56
393,Torbay,88,CA,1543247170,96,47.66,-52.73,38.59,17.25,47.66
394,Anahuac,68,US,1543247171,66,29.77,-94.68,47.18,12.55,29.77
395,Lethem,24,GY,1543247172,53,3.38,-59.8,91.82,15.68,3.38
396,Praya,68,ID,1543247173,100,-8.71,116.27,79.27,2.59,8.71
397,Padang,32,ID,1543247175,100,-0.92,100.36,80.57,1.36,0.92
398,Myanaung,0,MM,1543247176,76,18.28,95.32,74.27,8.75,18.28
399,Xingyi,0,CN,1543247178,88,24.19,102.82,38.95,2.37,24.19
400,Comodoro Rivadavia,0,AR,1543247179,69,-45.87,-67.48,61.72,1.25,45.87
401,Sobolevo,68,RU,1543247180,81,54.43,31.9,21.4,4.61,54.43
402,Port Hardy,92,CA,1543247181,95,50.7,-127.42,46.15,17.25,50.7
403,Cranbrook,48,CA,1543247183,89,49.51,-115.76,12.22,1.81,49.51
404,Boguchany,56,RU,1543247185,57,58.38,97.46,8.44,5.95,58.38
405,Kisangani,12,CD,1543247186,73,0.52,25.21,82.87,2.71,0.52
406,Vieques,56,PR,1543247187,100,18.43,-65.83,79.9,11.65,18.43
407,Nantucket,92,US,1543246998,100,41.28,-70.1,45.92,10.54,41.28
408,Camacha,80,PT,1543247190,100,33.08,-16.33,66.26,17.47,33.08
409,Taltal,8,CL,1543247191,78,-25.41,-70.49,67.39,3.15,25.41
410,Bulgan,0,MN,1543247192,33,48.81,103.53,7.4,10.42,48.81
411,Xiaoweizhai,0,CN,1543247193,86,26.23,107.51,38.59,2.37,26.23
412,Nara,92,JP,1543247194,92,34.68,135.8,42.19,2.59,34.68
413,Muli,80,IN,1543247196,43,22.62,71.45,75.71,6.73,22.62
414,Cayenne,48,GF,1543247197,95,4.94,-52.33,80.03,7.18,4.94
415,Shahrud,92,IR,1543247198,100,36.42,54.97,33.1,2.59,36.42
416,Luderitz,0,NA,1543247200,80,-26.65,15.16,62.8,16.24,26.65
417,Port-Gentil,32,GA,1543247201,93,-0.72,8.78,82.15,10.31,0.72
418,Baherden,68,TM,1543247202,94,38.44,57.43,38.9,2.15,38.44
419,Den Helder,76,NL,1543247203,100,52.96,4.76,40.34,14.23,52.96
420,Chifeng,0,CN,1543247205,39,42.27,118.96,18.56,4.72,42.27
421,Tessalit,0,ML,1543247206,22,20.2,1.01,87.32,6.73,20.2
422,Champerico,0,MX,1543247207,53,16.38,-93.6,76.84,2.71,16.38
423,Mazamitla,0,MX,1543247208,64,19.92,-103.02,60.1,3.04,19.92
424,Cody,0,US,1543246927,56,44.53,-109.06,4.25,2.93,44.53
425,San Julian,0,SV,1543247210,65,13.7,-89.56,81.34,2.15,13.7
426,Gizo,8,IL,1543247212,80,31.8,34.94,62.44,2.71,31.8
427,Okahandja,0,NA,1543247213,40,-21.98,16.91,83.45,7.74,21.98
428,Weare,88,US,1543247190,100,43.75,-86.34,34.31,19.37,43.75
429,Saint Anthony,68,US,1543247215,90,43.97,-111.68,18.38,3.49,43.97
430,Buraydah,8,SA,1543247216,76,26.33,43.97,56.59,4.5,26.33
431,Neiafu,64,TO,1543247218,100,-18.65,-173.98,79.85,12.21,18.65
432,Broome,92,GB,1543247219,100,52.47,1.45,44.44,6.96,52.47
433,Synya,76,RU,1543247220,83,65.37,58.04,0.47,2.59,65.37
434,Sibolga,48,ID,1543247221,100,1.74,98.78,68.65,1.03,1.74
435,Greve Strand,0,DK,1543247223,100,55.58,12.3,31.84,7.07,55.58
436,Vagur,68,FO,1543247224,100,61.47,-6.81,40.7,11.32,61.47
437,Bafoulabe,12,ML,1543247225,31,13.81,-10.83,94.79,10.65,13.81
438,Powell,44,US,1543247226,99,40.16,-83.08,39.26,21.5,40.16
439,Cedar City,0,US,1543247227,70,37.68,-113.06,7.94,2.71,37.68
440,Oneida,36,US,1543247229,87,41.07,-90.23,22.07,16.35,41.07
441,Prince Rupert,92,CA,1543247230,91,54.32,-130.32,47.5,7.4,54.32
442,Awbari,0,LY,1543247231,23,26.59,12.77,73.82,7.63,26.59
443,Pisco,12,PE,1543247232,81,-13.71,-76.2,68.47,4.16,13.71
444,Clarksburg,92,US,1543247234,100,39.28,-80.34,47.05,8.97,39.28
445,Birin,76,SY,1543247235,71,35.01,36.67,59.06,7.74,35.01
446,Basco,64,US,1543247236,92,40.33,-91.2,21.85,16.46,40.33
447,Urmary,80,RU,1543247237,92,55.68,47.94,20.81,7.18,55.68
448,Kamenka,80,RU,1543247238,89,53.19,44.05,22.34,3.71,53.19
449,Yuanping,12,CN,1543247240,30,38.72,112.71,28.37,8.75,38.72
450,Kieta,80,PG,1543247241,99,-6.22,155.63,78.86,2.37,6.22
451,Dombarovskiy,88,RU,1543247242,89,50.76,59.54,26.17,10.98,50.76
452,Cabo Rojo,0,PR,1543247243,100,18.09,-67.15,80.8,6.4,18.09
453,Gravenhurst,92,CA,1543247182,100,44.92,-79.37,33.82,7.07,44.92
454,Lokosovo,56,RU,1543247246,72,61.13,74.84,-10.51,3.15,61.13
455,Nalut,0,LY,1543247247,39,31.86,10.98,64.1,14.67,31.86
456,San Luis,12,AR,1543247248,64,-33.3,-66.34,78.32,4.61,33.3
457,Zyryanka,56,RU,1543247250,77,65.73,150.89,-17.53,2.71,65.73
458,Ouro Preto do Oeste,44,BR,1543247044,79,-10.75,-62.22,84.17,2.93,10.75
459,Arman,56,RU,1543247252,63,59.7,150.17,-4.17,2.93,59.7
460,Ucluelet,92,CA,1543247253,98,48.94,-125.55,50.69,8.75,48.94
461,Nicoya,0,CR,1543247254,89,10.15,-85.45,79.45,3.94,10.15
462,Soc Trang,8,VN,1543247255,97,9.6,105.98,76.39,2.71,9.6
463,Half Moon Bay,8,US,1543247257,100,37.46,-122.43,50.29,3.94,37.46
464,Osypenko,92,UA,1543247258,94,48.04,34.39,41.47,9.64,48.04
465,Cap Malheureux,92,MU,1543247259,100,-19.98,57.61,75.17,14.45,19.98
466,Kovur,0,IN,1543247260,83,14.5,79.99,69.41,5.5,14.5
467,Quang Ngai,92,VN,1543247261,99,15.12,108.8,67.12,2.93,15.12
468,Naze,44,NG,1543247263,70,5.43,7.07,86.92,5.39,5.43
469,Sola,36,NO,1543247264,100,58.89,5.65,38.18,7.63,58.89
470,Berga,0,ES,1543247265,78,42.1,1.85,44.57,8.19,42.1
471,Kuusamo,76,FI,1543247266,81,65.96,29.19,23.33,8.41,65.96
472,Sun Valley,0,US,1543246998,55,43.7,-114.35,3.71,2.15,43.7
473,Tamsalu,32,EE,1543247269,95,59.16,26.11,30.04,4.94,59.16
474,Caxito,12,BR,1543247270,85,-22.65,-42.51,78.82,10.87,22.65
475,Berezovyy,80,RU,1543247271,70,51.67,135.7,-2.64,2.37,51.67
476,Nabire,32,ID,1543247272,96,-3.36,135.5,68.33,1.92,3.36
477,Tual,8,ID,1543247273,100,-5.67,132.75,85.34,8.63,5.67
478,Tianjin,32,CN,1543247275,79,39.12,117.2,35.12,8.08,39.12
479,Todos Santos,8,MX,1543247242,100,23.45,-110.23,71.57,9.64,23.45
480,Beba,8,CU,1543247277,62,22.44,-79.73,81.47,4.83,22.44
481,Marzuq,0,YE,1543247278,27,14.4,46.47,71.48,4.83,14.4
482,Brigantine,56,US,1543247280,90,39.41,-74.36,53.66,17.58,39.41
483,Chamonix-Mont-Blanc,92,IT,1543247281,100,45.92,6.87,34.9,2.04,45.92
484,Kananga,92,CD,1543247282,100,-5.9,22.41,70.72,4.16,5.9
485,Russellville,0,US,1543247283,50,35.28,-93.13,34.76,6.73,35.28
486,Taketa,92,JP,1543247284,97,32.97,131.38,44.35,1.92,32.97
487,Henderson,0,US,1543247120,64,36.04,-114.98,21.44,2.37,36.04
488,Norsup,0,VU,1543247287,97,-16.07,167.38,79.31,4.83,16.07
489,Malaya Serdoba,92,RU,1543247288,93,52.47,44.96,25.27,5.39,52.47
490,Razole,0,IN,1543247289,100,16.48,81.84,79.85,10.31,16.48
491,Ishinomaki,0,JP,1543247290,100,38.42,141.3,53.66,11.99,38.42
492,Ruteng,68,ID,1543247292,96,-8.61,120.46,72.56,2.93,8.61
493,Vidim,80,CZ,1543247293,88,50.47,14.53,36.7,9.75,50.47
494,Lincoln,0,US,1543247111,80,40.8,-96.67,13.43,8.63,40.8
495,Norwalk,0,US,1543247295,61,33.91,-118.08,34.85,2.37,33.91
496,Evensk,0,RU,1543247296,100,61.92,159.24,10.01,18.81,61.92
497,Gornopravdinsk,76,RU,1543247298,80,60.06,69.92,-1.15,2.82,60.06
498,Thayetmyo,0,MM,1543247299,79,19.32,95.18,68.06,6.96,19.32
499,Ayan,48,TR,1543247300,90,40.67,33.6,33.1,2.48,40.67
500,Pontianak,56,ID,1543247301,87,-0.02,109.34,81.47,2.82,0.02
501,Remerschen,80,DE,1543247302,88,49.49,6.35,39.17,8.75,49.49
502,Chernyshevskiy,12,RU,1543247304,46,63.01,112.47,-29.19,2.93,63.01
503,Thiers,92,FR,1543247305,89,45.86,3.55,38.5,6.73,45.86
504,Bitung,12,ID,1543247210,100,1.44,125.19,83.72,7.4,1.44
505,Juarez,0,AR,1543247307,43,-38.95,-67.92,78.68,8.75,38.95
506,Teguise,24,ES,1543247034,89,29.06,-13.56,69.82,9.42,29.06
507,Lafiagi,0,NG,1543247309,40,8.85,5.42,95.42,4.16,8.85
508,Turukhansk,32,RU,1543247311,57,65.8,87.96,-11.77,7.4,65.8
509,Ocampo,88,PH,1543247312,90,13.56,123.37,78.68,9.08,13.56
510,Kudahuvadhoo,12,MV,1543247313,100,2.67,72.89,83.63,6.29,2.67
511,Ubinskoye,56,RU,1543247314,85,55.31,79.68,13.97,5.06,55.31
512,Ler,88,NO,1543247315,95,63.2,10.3,22.16,2.59,63.2
513,Port-Cartier,88,CA,1543247316,100,50.03,-66.88,31.57,13.78,50.03
514,Santa Maria,12,BR,1543247319,52,-29.69,-53.81,75.98,13.22,29.69
515,Mehamn,32,NO,1543247320,99,71.03,27.85,31.52,11.54,71.03
516,Wuwei,0,CN,1543247321,73,37.93,102.64,13.84,3.04,37.93
517,Isla Vista,0,US,1543247247,91,34.41,-119.86,62.48,4.72,34.41
518,Mandan,68,US,1543247324,83,46.83,-100.89,8.48,5.17,46.83
519,Tilichiki,80,RU,1543247151,86,60.47,166.1,-6.28,4.16,60.47
520,Tynda,68,RU,1543247326,58,55.15,124.74,-3.31,5.84,55.15
521,Sambava,32,MG,1543247327,100,-14.27,50.17,78.68,16.13,14.27
522,Boundiali,20,CI,1543247328,38,9.53,-6.48,93.71,7.96,9.53
523,Pangnirtung,92,CA,1543247329,97,66.15,-65.72,20.09,8.3,66.15
524,Nanguneri,48,IN,1543247331,89,8.49,77.66,74.0,3.6,8.49
525,Verkh-Usugli,68,RU,1543247332,52,52.7,115.17,8.62,11.43,52.7
526,Sistranda,80,NO,1543247333,100,63.73,8.83,39.35,5.28,63.73
527,Trincomalee,48,LK,1543247334,82,8.58,81.23,75.71,6.17,8.58
528,Taoudenni,8,ML,1543247335,27,22.68,-3.98,81.38,9.64,22.68
529,Nyagan,76,RU,1543247337,84,62.14,65.43,-9.16,6.62,62.14
530,Husavik,76,CA,1543247338,74,50.56,-96.99,7.94,10.76,50.56
531,Kaeo,0,NZ,1543247339,89,-35.1,173.78,56.81,4.27,35.1
532,Kindu,56,CD,1543247340,77,-2.95,25.92,80.44,2.71,2.95
533,Tabou,80,CI,1543247341,100,4.42,-7.36,76.79,3.71,4.42
534,Omboue,92,GA,1543247343,100,-1.57,9.26,79.76,8.19,1.57
535,Muisne,92,EC,1543247344,92,0.61,-80.02,74.45,8.52,0.61
536,San Ramon,0,NI,1543247345,81,12.92,-85.84,72.74,2.37,12.92
537,Aden,8,YE,1543247075,100,12.79,45.03,79.54,7.18,12.79
538,Abu Dhabi,0,AE,1543247347,99,24.47,54.37,74.99,8.19,24.47
539,Roswell,32,US,1543247297,48,33.39,-104.52,29.27,8.97,33.39
540,Kirakira,56,SB,1543247350,100,-10.46,161.92,81.11,8.19,10.46
541,Kanniyakumari,12,IN,1543247351,100,8.08,77.57,82.91,21.72,8.08
542,Kayerkan,68,RU,1543247352,57,69.35,87.76,-11.5,3.15,69.35
543,Byron Bay,0,AU,1543247353,100,-28.65,153.62,72.11,8.97,28.65
544,Khokhryaki,88,RU,1543247354,84,56.92,53.32,22.88,7.74,56.92
545,Archidona,24,EC,1543247356,86,-0.91,-77.81,69.64,3.15,0.91
546,Muravlenko,56,RU,1543247357,58,63.79,74.5,-20.14,3.15,63.79
547,Moose Factory,68,CA,1543247358,91,51.26,-80.61,21.26,12.77,51.26
548,El Cope,48,PA,1543247359,100,8.69,-82.32,77.42,3.94,8.69
549,Along,92,IN,1543247360,66,28.17,94.8,54.11,2.37,28.17
550,Chapadinha,36,BR,1543247362,60,-3.74,-43.35,91.82,10.76,3.74
551,Temir,80,KZ,1543247363,82,49.14,57.13,24.59,9.86,49.14
552,Nykoping,0,SE,1543247364,100,58.75,17.01,27.11,6.73,58.75
553,Algodones,36,US,1543247365,62,35.38,-106.48,20.81,2.93,35.38
554,Xining,0,CN,1543247366,82,36.62,101.77,9.56,2.59,36.62
555,Tshikapa,80,CD,1543247368,87,-6.42,20.79,77.74,3.71,6.42
556,Miraflores,68,CO,1543247369,94,5.2,-73.14,57.22,2.37,5.2
557,Aitape,76,PG,1543247370,95,-3.15,142.36,82.15,6.06,3.15
558,Penzance,32,GB,1543247371,100,50.12,-5.53,46.46,6.4,50.12
559,Cockburn Town,8,TC,1543247373,100,21.46,-71.14,79.54,10.09,21.46
560,Hami,0,CN,1543247374,63,42.84,93.51,10.46,2.93,42.84
561,Namibe,0,AO,1543247375,99,-15.19,12.15,73.6,10.54,15.19
562,Alyangula,24,AU,1543247376,95,-13.85,136.42,86.74,8.08,13.85
563,Chengdu,76,CN,1543247377,92,30.68,104.06,47.77,3.04,30.68
564,Wewak,48,PG,1543247379,92,-3.55,143.63,77.92,3.6,3.55
565,Sabang,88,PH,1543247380,90,13.72,123.58,78.68,9.08,13.72
566,Nome,80,US,1543247381,65,30.04,-94.42,47.63,11.65,30.04
567,Vigrestad,0,NO,1543247382,100,58.57,5.7,16.72,2.15,58.57
568,Lorengau,64,PG,1543247383,98,-2.02,147.27,84.22,10.87,2.02
569,Nishihara,88,JP,1543247114,84,35.74,139.53,43.67,2.37,35.74
570,Pacific Grove,0,US,1543247199,100,36.62,-121.92,46.15,4.05,36.62
571,Otane,12,NZ,1543247387,99,-39.89,176.62,44.75,2.37,39.89
572,La Sarre,76,CA,1543247101,99,48.8,-79.2,22.7,4.16,48.8
573,San Cristobal,44,EC,1543247389,88,-0.39,-78.55,55.73,0.58,0.39
574,Mahibadhoo,88,MV,1543247390,100,3.78,72.97,84.04,6.73,3.78
575,Khani,0,GE,1543247392,91,41.96,42.96,33.95,2.15,41.96
576,Santa Vitoria,32,BR,1543247393,78,-7.82,-67.03,84.67,3.6,7.82
577,Dwarka,0,IN,1543247394,76,28.58,77.04,61.31,3.15,28.58
578,Gebre Guracha,0,ET,1543247395,84,9.8,38.4,58.7,1.36,9.8
579,Villa Maria,48,CO,1543247396,83,4.5,-74.09,58.79,2.59,4.5
580,Bagting,32,PH,1543247398,91,15.56,121.25,69.77,2.26,15.56
581,Agua Buena,92,PA,1543247399,92,9.12,-79.61,79.58,6.62,9.12
582,Lakes Entrance,56,AU,1543247400,100,-37.88,147.99,54.97,1.48,37.88
583,Palembang,0,ID,1543247401,92,-2.99,104.76,76.52,3.15,2.99
584,Ullapool,20,GB,1543247402,100,57.9,-5.16,40.34,8.97,57.9
585,Lagoa,0,PT,1543247404,74,37.14,-8.45,60.05,7.29,37.14
586,Tazmalt,76,DZ,1543247405,69,36.39,4.4,52.49,9.64,36.39
587,San Andres,20,PH,1543247407,100,13.32,122.68,79.54,14.79,13.32
588,Mantua,8,IT,1543247297,97,45.16,10.79,50.02,2.48,45.16
589,Doha,36,QA,1543247162,77,25.29,51.53,73.19,14.0,25.29
590,Teknaf,0,BD,1543247411,92,20.86,92.31,66.53,2.71,20.86
591,Ogbomosho,8,NG,1543247412,50,8.13,4.25,92.27,4.5,8.13
592,Pathein,12,MM,1543247414,75,16.78,94.73,75.04,5.61,16.78
593,Muros,0,ES,1543247415,88,42.77,-9.06,56.05,5.5,42.77
594,Minbu,0,MM,1543247416,90,20.18,94.88,67.43,5.28,20.18
595,Shimoda,92,JP,1543247417,100,34.7,138.93,62.03,9.75,34.7
596,Dongsheng,0,CN,1543247419,79,29.72,112.52,44.21,2.71,29.72
597,Santo Antonio do Ica,24,BR,1543247420,84,-3.1,-67.94,84.17,3.71,3.1
598,Aswan,24,EG,1543247421,42,24.09,32.9,74.81,4.38,24.09
599,Vadlapudi,0,IN,1543247422,83,14.32,79.8,69.41,5.5,14.32
600,Linhai,0,CN,1543247423,91,28.86,121.14,45.79,3.83,28.86
601,Phangnga,8,TH,1543247424,87,8.45,98.53,79.4,5.17,8.45
602,Colchester,92,GB,1543247323,100,51.89,0.9,47.27,7.74,51.89
603,Piet Retief,12,ZA,1543247427,77,-27.01,30.81,72.7,3.38,27.01
604,Yenagoa,12,NG,1543247428,83,4.92,6.26,84.85,10.2,4.92
605,Rome,88,IT,1543247302,86,41.89,12.48,53.62,2.15,41.89
606,Honiara,36,SB,1543247430,100,-9.43,159.96,74.99,2.59,9.43
607,Ingham,48,AU,1543247432,81,-18.65,146.16,83.77,7.63,18.65
608,Tura,8,IN,1543247433,87,25.52,90.21,62.44,1.7,25.52
609,Muzhi,56,RU,1543247434,66,65.4,64.7,-14.56,4.61,65.4
610,Bonavista,92,CA,1543247435,97,48.65,-53.11,38.0,18.48,48.65
611,Oia,0,ES,1543247436,100,42.0,-8.88,56.32,4.94,42.0
612,Brigham City,32,US,1543247438,79,41.51,-112.02,17.89,3.94,41.51
613,Kristinehamn,0,SE,1543247439,90,59.31,14.11,22.52,5.95,59.31
614,Dryden,56,CA,1543247440,77,49.79,-92.84,8.57,6.96,49.79
615,Karaton,68,ID,1543247441,95,-6.34,106.1,72.83,2.71,6.34
616,Mombetsu,0,JP,1543247442,100,44.35,143.35,40.57,12.88,44.35
617,Ferlach,92,AT,1543247444,100,46.53,14.3,35.66,1.36,46.53
618,Betare Oya,0,CM,1543247445,44,5.6,14.08,88.22,7.4,5.6
619,Rio Grande,24,BR,1543247446,89,-32.03,-52.1,71.44,11.99,32.03
620,Tezu,44,IN,1543247448,54,27.93,96.16,55.69,2.15,27.93
621,Ulaangom,56,MN,1543247449,80,49.98,92.07,-0.52,2.15,49.98
622,Pochutla,0,MX,1543247450,100,15.74,-96.47,81.79,1.7,15.74
623,Orlik,32,RU,1543247451,56,52.51,99.83,-5.83,4.72,52.51
624,Thyboron,36,DK,1543247452,100,56.7,8.21,35.75,2.48,56.7
625,La Asuncion,76,EC,1543247454,95,-1.64,-78.74,53.84,1.81,1.64
626,Luwuk,0,ID,1543247455,97,-0.95,122.79,79.09,1.92,0.95
627,Buin,0,CL,1543247456,51,-33.73,-70.74,72.11,2.71,33.73
628,Ochamchira,0,GE,1543247457,100,42.71,41.47,54.11,8.08,42.71
629,Lerwick,92,GB,1543247459,100,60.15,-1.15,41.74,5.73,60.15
630,Alta Floresta,92,BR,1543247460,90,-9.87,-56.08,78.64,2.93,9.87
631,Karratha,0,AU,1543247461,38,-20.74,116.85,75.44,12.21,20.74
632,Faanui,88,PF,1543247462,99,-16.48,-151.75,83.27,11.1,16.48
633,Bodhan,0,IN,1543247463,55,18.65,77.89,64.69,6.85,18.65
634,Japura,92,ID,1543247464,99,-0.42,102.29,72.02,2.59,0.42
635,Galyugayevskaya,0,RU,1543247467,94,43.7,44.93,28.64,6.4,43.7
636,Rawson,0,AR,1543247468,37,-43.3,-65.11,77.51,11.65,43.3
637,Megion,56,RU,1543247469,71,61.04,76.11,-10.15,3.27,61.04
638,Tabuk,76,PH,1543247470,97,17.41,121.44,68.02,2.04,17.41
639,Yarada,0,IN,1543247472,100,17.65,83.27,80.12,10.76,17.65
640,Kampot,92,KH,1543247473,98,10.62,104.18,72.02,6.73,10.62
641,Dahra,44,DZ,1543247474,66,36.25,0.85,59.69,11.43,36.25
642,Macia,12,MZ,1543247475,40,-25.03,33.09,95.15,8.3,25.03
643,Balad,76,ID,1543247476,100,-6.76,108.42,80.39,4.61,6.76
644,Bronnoysund,92,NO,1543247478,98,65.46,12.2,39.26,15.68,65.46
645,Naushki,12,RU,1543247479,70,50.39,106.11,-3.27,2.93,50.39
646,Chumphon,8,TH,1543247480,72,10.5,99.18,75.44,3.94,10.5
647,Yumen,0,CN,1543247481,67,40.29,97.04,16.94,3.94,40.29
648,Zabaykalsk,32,CN,1543247483,38,49.64,117.33,12.98,24.85,49.64
649,Margate,92,AU,1543247484,100,-43.03,147.26,52.85,2.59,43.03
650,Magadan,44,RU,1543247485,100,59.56,150.8,14.51,23.06,59.56
651,Beisfjord,80,NO,1543247486,94,68.38,17.6,25.13,3.6,68.38
652,Mujiayingzi,0,CN,1543247487,39,42.12,118.78,18.56,4.72,42.12
653,Cairns,0,AU,1543247471,95,-16.92,145.77,81.92,5.84,16.92
654,Sibiti,64,CG,1543247491,81,-3.69,13.35,82.37,3.83,3.69
655,Meybod,0,IR,1543247492,81,32.25,54.02,44.93,3.15,32.25
656,Tazovskiy,32,RU,1543247493,53,67.47,78.7,-18.21,3.38,67.47
657,Dandong,92,CN,1543247495,95,40.12,124.37,45.56,4.72,40.12
658,Biu,0,NG,1543247496,18,10.61,12.19,93.89,8.75,10.61
659,Oshikango,0,NA,1543247497,26,-17.39,15.89,93.85,4.61,17.39
660,Mizdah,8,LY,1543247498,35,31.45,12.98,67.75,11.43,31.45
661,Akureyri,8,IS,1543247499,58,65.68,-18.09,-3.09,2.26,65.68
662,Kalevala,80,FI,1543247501,93,64.12,29.58,19.19,7.18,64.12
663,Santiago del Estero,92,AR,1543247502,85,-27.8,-64.26,76.75,11.1,27.8
664,Lubango,12,AO,1543247503,26,-14.92,13.49,85.97,3.94,14.92
665,Ferrol,0,ES,1543247504,71,43.48,-8.23,54.07,4.72,43.48
666,Baykit,56,RU,1543247505,78,61.68,96.39,-4.93,3.15,61.68
667,Maceio,92,BR,1543247214,67,-9.67,-35.74,83.5,12.77,9.67
668,Verkhnyaya Inta,36,RU,1543247508,67,65.99,60.32,5.06,6.85,65.99
669,Eureka,88,US,1543247316,91,40.8,-124.16,49.12,4.72,40.8
670,Westport,0,IE,1543247253,100,53.8,-9.52,43.0,14.0,53.8
